Relation ID,Relation Strings,Test Triple Count,Train Triple Count,Relation Type,Filtered MR,Filtered MRR,Filtered Hits@1,Filtered Hits@3,Filtered Hits@10
0,/location/country/form_of_government,34,290,M-N,1.1176470588235294,0.9698528962976792,0.9558823529411765,0.9705882352941176,1.0
1,/tv/tv_program/regular_cast./tv/regular_tv_appearance/actor,130,369,1-N,918.5307692307692,0.39999835674579326,0.3730769230769231,0.40384615384615385,0.45384615384615384
2,/media_common/netflix_genre/titles,303,311,1-N,745.7409240924093,0.2606260847337175,0.20297029702970298,0.2722772277227723,0.3844884488448845
3,/award/award_winner/awards_won./award/award_honor/award_winner,903,300,1-1,2357.3726467331117,0.07530090737580461,0.04097452934662237,0.07807308970099668,0.14728682170542637
4,/soccer/football_team/current_roster./sports/sports_team_roster/position,239,382,M-1,233.77196652719664,0.39867302164373036,0.28451882845188287,0.5146443514644351,0.5774058577405857
5,/sports/sports_position/players./soccer/football_roster_position/team,256,341,1-N,267.615234375,0.3500347435474396,0.21484375,0.48046875,0.5703125
6,/government/political_district/representatives./government/government_position_held/legislative_sessions,122,395,M-N,6.938524590163935,0.5363877093205687,0.45491803278688525,0.5327868852459017,0.7581967213114754
7,/film/film/starring./film/performance/actor,1086,333,1-1,2742.921731123389,0.056169081348960134,0.0423572744014733,0.058011049723756904,0.08057090239410682
8,/soccer/football_team/current_roster./soccer/football_roster_position/position,239,346,M-1,252.47280334728035,0.37513729717940963,0.25313807531380755,0.4895397489539749,0.5732217573221757
9,/film/actor/film./film/performance/film,1034,391,1-1,2891.7147001934236,0.05738577483009324,0.044003868471953575,0.0609284332688588,0.07833655705996131
10,/award/award_nominated_work/award_nominations./award/award_nomination/award,1067,409,M-1,526.4147141518275,0.09726473406976702,0.05388940955951265,0.09372071227741331,0.17853795688847235
11,/award/award_category/nominees./award/award_nomination/nominated_for,1074,397,1-N,536.8230912476722,0.10990865980890654,0.06983240223463687,0.1042830540037244,0.18901303538175046
12,/organization/membership_organization/members./organization/organization_membership/member,74,386,M-N,17.33108108108108,0.6442244246199325,0.5675675675675675,0.6824324324324325,0.7837837837837838
13,/award/award_nominee/award_nominations./award/award_nomination/award_nominee,1674,379,1-1,3049.14486260454,0.04304924603716304,0.022700119474313024,0.044504181600955796,0.07915173237753884
14,/olympics/olympic_sport/olympic_games_contested,74,346,M-N,3.97972972972973,0.6432593062117293,0.5675675675675675,0.6418918918918919,0.918918918918919
15,/music/performance_role/regular_performances./music/group_membership/role,274,325,M-N,41.262773722627735,0.17638910947924982,0.11861313868613138,0.16423357664233576,0.2773722627737226
16,/award/award_category/winners./award/award_honor/ceremony,293,375,M-N,92.20136518771331,0.24111214595443153,0.14675767918088736,0.22184300341296928,0.49658703071672355
17,/film/film/release_date_s./film/film_regional_release_date/film_release_distribution_medium,147,411,M-1,240.40136054421768,0.6294280590654231,0.6190476190476191,0.6326530612244898,0.6530612244897959
18,/people/marriage_union_type/unions_of_this_type./people/marriage/spouse,332,355,1-N,1110.9834337349398,0.4616774593491152,0.42168674698795183,0.49849397590361444,0.5150602409638554
19,/award/award_winning_work/awards_won./award/award_honor/award_winner,329,314,1-1,1277.0775075987842,0.3198930688179735,0.256838905775076,0.34194528875379937,0.44072948328267475
20,/film/film/release_date_s./film/film_regional_release_date/film_release_region,1454,367,M-1,484.621045392022,0.07314051296228884,0.038170563961485555,0.05949105914718019,0.13239339752407153
21,/film/film/language,264,361,M-1,474.969696969697,0.39409755937980884,0.3484848484848485,0.4128787878787879,0.48863636363636365
22,/music/artist/genre,659,323,M-1,1049.5531107738998,0.12081774883820182,0.08952959028831563,0.11456752655538695,0.17905918057663125
23,/location/location/containedby,608,376,M-1,1254.7384868421052,0.23447987907811216,0.18503289473684212,0.24835526315789475,0.32894736842105265
24,/people/person/ethnicity,242,396,M-1,1320.4318181818182,0.3253395774147727,0.27892561983471076,0.3367768595041322,0.41115702479338845
