Relation ID,Relation Strings,Test Triple Count,Train Triple Count,Relation Type,Filtered MR,Filtered MRR,Filtered Hits@1,Filtered Hits@3,Filtered Hits@10
0,/location/country/form_of_government,31,288,M-N,1.4838709677419355,0.9321428729641822,0.9193548387096774,0.9193548387096774,0.9838709677419355
1,/tv/tv_program/regular_cast./tv/regular_tv_appearance/actor,148,310,1-N,497.9087837837838,0.4133219847808013,0.36486486486486486,0.43243243243243246,0.48986486486486486
2,/media_common/netflix_genre/titles,294,335,1-N,423.4030612244898,0.28044904332582643,0.21258503401360543,0.2857142857142857,0.43197278911564624
3,/award/award_winner/awards_won./award/award_honor/award_winner,923,404,1-1,1236.726977248104,0.12912558476044064,0.08992416034669556,0.1256771397616468,0.21397616468039005
4,/soccer/football_team/current_roster./sports/sports_team_roster/position,250,361,M-1,228.3,0.38724258422851565,0.264,0.518,0.582
5,/sports/sports_position/players./soccer/football_roster_position/team,253,369,1-N,260.19565217391306,0.38725416462411993,0.26877470355731226,0.49209486166007904,0.5731225296442688
6,/government/political_district/representatives./government/government_position_held/legislative_sessions,124,387,M-N,8.116935483870968,0.4968354009812878,0.4153225806451613,0.49193548387096775,0.6975806451612904
7,/film/film/starring./film/performance/actor,1050,348,1-1,1549.6480952380953,0.057065731230236234,0.043333333333333335,0.055714285714285716,0.07809523809523809
8,/soccer/football_team/current_roster./soccer/football_roster_position/position,244,359,M-1,289.12909836065575,0.3813554419845831,0.2725409836065574,0.4713114754098361,0.5655737704918032
9,/film/actor/film./film/performance/film,1059,431,1-1,1451.3663833805476,0.0662389652587199,0.05004721435316336,0.06562795089707271,0.09631728045325778
10,/award/award_nominated_work/award_nominations./award/award_nomination/award,1001,414,M-1,334.7692307692308,0.12333502374090753,0.07742257742257742,0.11388611388611389,0.21078921078921078
11,/award/award_category/nominees./award/award_nomination/nominated_for,1079,296,1-N,365.4740500463392,0.10426197635343055,0.056997219647822055,0.09870250231696015,0.18952734012974976
12,/organization/membership_organization/members./organization/organization_membership/member,82,359,M-N,185.3658536585366,0.5530209890226039,0.4451219512195122,0.6280487804878049,0.7378048780487805
13,/award/award_nominee/award_nominations./award/award_nomination/award_nominee,1770,352,1-1,1456.7728813559322,0.0751255789719059,0.04745762711864407,0.07570621468926554,0.12627118644067797
14,/olympics/olympic_sport/olympic_games_contested,85,397,M-N,3.041176470588235,0.6497673034667969,0.5117647058823529,0.7176470588235294,0.9470588235294117
15,/music/performance_role/regular_performances./music/group_membership/role,286,311,M-N,36.13636363636363,0.19224981828169388,0.11713286713286714,0.19230769230769232,0.31993006993006995
16,/award/award_category/winners./award/award_honor/ceremony,280,312,M-N,31.957142857142856,0.26372195652553015,0.16964285714285715,0.2517857142857143,0.48928571428571427
17,/film/film/release_date_s./film/film_regional_release_date/film_release_distribution_medium,175,367,M-1,308.62857142857143,0.6125740269252232,0.6,0.6171428571428571,0.6342857142857142
18,/people/marriage_union_type/unions_of_this_type./people/marriage/spouse,315,391,1-N,1257.6920634920634,0.5125838991195436,0.4650793650793651,0.5571428571428572,0.5619047619047619
19,/award/award_winning_work/awards_won./award/award_honor/award_winner,298,342,1-1,911.8187919463087,0.3246579266234532,0.24664429530201343,0.3724832214765101,0.4597315436241611
20,/film/film/release_date_s./film/film_regional_release_date/film_release_region,1448,340,M-1,341.31698895027625,0.08075906426867069,0.04281767955801105,0.06457182320441988,0.1433011049723757
21,/film/film/language,265,293,M-1,426.18301886792455,0.3938699110498968,0.35094339622641507,0.4037735849056604,0.4811320754716981
22,/music/artist/genre,645,348,M-1,593.6441860465117,0.10874088494352592,0.06666666666666667,0.10232558139534884,0.1868217054263566
23,/location/location/containedby,579,300,M-1,1049.9507772020725,0.22598899090228303,0.16753022452504318,0.25302245250431776,0.32124352331606215
24,/people/person/ethnicity,233,285,M-1,923.3326180257511,0.2967237218766765,0.24248927038626608,0.3090128755364807,0.40772532188841204
25,/education/educational_institution/students_graduates./education/education/degree,263,390,M-1,105.69201520912547,0.3153719593816837,0.23574144486692014,0.32509505703422054,0.5057034220532319
26,/award/award_category/nominees./award/award_nomination/award_nominee,1368,425,1-N,896.6597222222222,0.11163091380693758,0.07236842105263158,0.10928362573099415,0.18165204678362573
27,/award/award_ceremony/awards_presented./award/award_honor/award,295,296,M-N,128.09661016949153,0.2254026509947696,0.13389830508474576,0.20677966101694914,0.4186440677966102
28,/location/location/contains,612,286,1-N,1201.5351307189542,0.24312225042604932,0.18137254901960784,0.2647058823529412,0.375
29,/organization/organization/headquarters./location/mailing_address/country,22,182,M-1,5.75,0.9216343272816051,0.9090909090909091,0.9318181818181818,0.9318181818181818
30,/people/person/profession,1301,361,M-1,1207.0249807840123,0.17659498562178733,0.1037663335895465,0.18716372021521907,0.35318985395849345
31,/film/film_job/films_with_this_crew_job./film/film_crew_gig/film,640,303,1-N,429.959375,0.19471797943115235,0.115625,0.2046875,0.4
32,/people/profession/people_with_this_profession,1308,330,1-N,1306.8868501529053,0.17713543253207426,0.10244648318042814,0.1930428134556575,0.3532110091743119
33,/film/film_costumer_designer/costume_design_for_film,23,190,1-N,1.0434782608695652,0.9855072187340778,0.9782608695652174,1.0,1.0
34,/location/statistical_region/religions./location/religion_percentage/religion,72,295,M-N,11.645833333333334,0.5374292797512479,0.4513888888888889,0.5555555555555556,0.75
35,/film/film_genre/films_in_this_genre,804,316,1-N,590.0870646766169,0.14894259628371811,0.08955223880597014,0.1517412935323383,0.26990049751243783
36,/tv/tv_genre/programs,102,362,M-N,23.416666666666668,0.5643464630725337,0.49019607843137253,0.5931372549019608,0.7058823529411765
