Relation ID,Relation Strings,Test Triple Count,Train Triple Count,Relation Type,MR,MRR,Hits@1,Hits@3,Hits@10
0,/location/country/form_of_government,31,288,M-N,18.983870967741936,0.43403419371574153,0.3387096774193548,0.5,0.5483870967741935
1,/tv/tv_program/regular_cast./tv/regular_tv_appearance/actor,148,310,1-N,498.8885135135135,0.34266649710165487,0.2635135135135135,0.3885135135135135,0.48986486486486486
2,/media_common/netflix_genre/titles,294,335,1-N,433.0051020408163,0.22582914391342473,0.14625850340136054,0.24149659863945577,0.3877551020408163
3,/award/award_winner/awards_won./award/award_honor/award_winner,923,404,1-1,1237.180931744312,0.11299656530113675,0.06663055254604551,0.11321776814734562,0.20639219934994582
4,/soccer/football_team/current_roster./sports/sports_team_roster/position,250,361,M-1,272.868,0.27052288818359377,0.138,0.392,0.508
5,/sports/sports_position/players./soccer/football_roster_position/team,253,369,1-N,305.22529644268775,0.2704993085898901,0.1383399209486166,0.3715415019762846,0.5
6,/government/political_district/representatives./government/government_position_held/legislative_sessions,124,387,M-N,15.60483870967742,0.1685876384858162,0.04032258064516129,0.1693548387096774,0.45161290322580644
7,/film/film/starring./film/performance/actor,1050,348,1-1,1549.9090476190477,0.05266677129836309,0.03619047619047619,0.05380952380952381,0.07809523809523809
8,/soccer/football_team/current_roster./soccer/football_roster_position/position,244,359,M-1,333.2356557377049,0.27198087973672835,0.14344262295081966,0.36065573770491804,0.5
9,/film/actor/film./film/performance/film,1059,431,1-1,1451.7053824362606,0.05917448092452528,0.03871576959395656,0.06185080264400378,0.09584513692162418
10,/award/award_nominated_work/award_nominations./award/award_nomination/award,1001,414,M-1,337.2927072927073,0.09767821594908997,0.04495504495504495,0.09090909090909091,0.1958041958041958
11,/award/award_category/nominees./award/award_nomination/nominated_for,1079,296,1-N,367.28266913809085,0.08841665725778716,0.037534754402224285,0.08665430954587582,0.18118628359592215
12,/organization/membership_organization/members./organization/organization_membership/member,82,359,M-N,200.8048780487805,0.2885293030157322,0.16463414634146342,0.32926829268292684,0.573170731707317
13,/award/award_nominee/award_nominations./award/award_nomination/award_nominee,1770,352,1-1,1457.0502824858756,0.06883243625446901,0.0384180790960452,0.0711864406779661,0.12429378531073447
14,/olympics/olympic_sport/olympic_games_contested,85,397,M-N,10.541176470588235,0.1693913740270278,0.03529411764705882,0.12352941176470589,0.5411764705882353
