Relation ID,Relation Strings,Test Triple Count,Train Triple Count,Relation Type,MR,MRR,Hits@1,Hits@3,Hits@10
0,/location/country/form_of_government,40,286,M-N,16.825,0.4164588928222656,0.2875,0.5125,0.6
1,/tv/tv_program/regular_cast./tv/regular_tv_appearance/actor,140,385,1-N,480.3071428571429,0.3598024640764509,0.29642857142857143,0.39285714285714285,0.4785714285714286
2,/media_common/netflix_genre/titles,295,374,1-N,381.43898305084747,0.2470115532309322,0.16779661016949152,0.26949152542372884,0.39661016949152544
3,/award/award_winner/awards_won./award/award_honor/award_winner,909,375,1-1,951.8492849284928,0.1149882200134076,0.0671067106710671,0.11771177117711772,0.21782178217821782
4,/soccer/football_team/current_roster./sports/sports_team_roster/position,258,353,M-1,301.5251937984496,0.2586394613103349,0.12403100775193798,0.3624031007751938,0.5096899224806202
5,/sports/sports_position/players./soccer/football_roster_position/team,246,367,1-N,359.2865853658537,0.27939571597711826,0.14634146341463414,0.40040650406504064,0.5
6,/government/political_district/representatives./government/government_position_held/legislative_sessions,115,374,M-N,16.62608695652174,0.18335315870202107,0.08695652173913043,0.14782608695652175,0.391304347826087
7,/film/film/starring./film/performance/actor,993,378,1-1,1413.2240684793555,0.07793455709743596,0.0553877139979859,0.08157099697885196,0.11329305135951662
8,/soccer/football_team/current_roster./soccer/football_roster_position/position,273,317,M-1,282.16117216117215,0.2667002695384043,0.12637362637362637,0.38644688644688646,0.5
9,/film/actor/film./film/performance/film,969,329,1-1,1452.9205366357069,0.06967424485213493,0.047987616099071206,0.0737874097007224,0.10784313725490197
10,/award/award_nominated_work/award_nominations./award/award_nomination/award,1016,380,M-1,312.1722440944882,0.09453221568911094,0.041830708661417325,0.09104330708661418,0.20275590551181102
11,/award/award_category/nominees./award/award_nomination/nominated_for,998,349,1-N,307.56963927855713,0.09385989997573271,0.0405811623246493,0.08867735470941884,0.18837675350701402
12,/organization/membership_organization/members./organization/organization_membership/member,78,375,M-N,30.621794871794872,0.31951583960117436,0.1794871794871795,0.4166666666666667,0.5705128205128205
13,/award/award_nominee/award_nominations./award/award_nomination/award_nominee,1769,354,1-1,1423.08140192199,0.07365990224162221,0.04041831543244771,0.07801017524024872,0.13651780667043528
14,/olympics/olympic_sport/olympic_games_contested,72,360,M-N,10.152777777777779,0.228168699476454,0.09722222222222222,0.2013888888888889,0.6041666666666666
15,/music/performance_role/regular_performances./music/group_membership/role,262,351,M-N,39.961832061068705,0.10242890947647677,0.04007633587786259,0.08206106870229007,0.21564885496183206
16,/award/award_category/winners./award/award_honor/ceremony,308,332,M-N,50.55844155844156,0.1533427300391259,0.04707792207792208,0.1461038961038961,0.3912337662337662
17,/film/film/release_date_s./film/film_regional_release_date/film_release_distribution_medium,193,360,M-1,502.56476683937825,0.47886614231247976,0.4637305699481865,0.48704663212435234,0.5051813471502591
18,/people/marriage_union_type/unions_of_this_type./people/marriage/spouse,353,351,1-N,1540.583569405099,0.45161887539007173,0.41076487252124644,0.4886685552407932,0.49291784702549574
19,/award/award_winning_work/awards_won./award/award_honor/award_winner,341,349,1-1,765.3870967741935,0.30108353958801093,0.22140762463343108,0.34750733137829914,0.43841642228739003
20,/film/film/release_date_s./film/film_regional_release_date/film_release_region,1416,349,M-1,358.1945621468927,0.05700256326104288,0.018714689265536724,0.039901129943502825,0.120409604519774
