Relation ID,Relation Strings,Test Triple Count,Train Triple Count,Relation Type,MR,MRR,Hits@1,Hits@3,Hits@10
0,_hyponym,1185,8706,1-N,9408.569620,0.318652,0.285232,0.337975,0.378481
1,_hypernym,1209,6608,M-1,9699.464020,0.347732,0.317618,0.363937,0.404880
2,_member_holonym,268,6792,M-1,332.893657,0.771171,0.703358,0.802239,0.914179
3,_derivationally_related_form,1015,8479,1-1,9151.262069,0.392819,0.323645,0.462069,0.489163
4,_instance_hypernym,90,2703,M-1,43.338889,0.557629,0.483333,0.577778,0.705556
5,_also_see,42,1214,M-N,932.964286,0.745097,0.583333,0.904762,0.964286
6,_member_meronym,246,6813,1-N,132.965447,0.775944,0.703252,0.823171,0.922764
7,_member_of_domain_topic,123,2839,1-N,283.808943,0.594874,0.532520,0.613821,0.723577
8,_part_of,155,4446,M-1,201.774194,0.761134,0.674194,0.809677,0.929032
9,_instance_hyponym,92,2702,1-N,44.010870,0.533281,0.429348,0.597826,0.706522
10,_synset_domain_topic_of,106,2844,M-1,252.603774,0.570977,0.509434,0.608491,0.665094
11,_has_part,155,4438,1-N,369.358065,0.733908,0.632258,0.796774,0.919355
12,_member_of_domain_usage,16,594,1-N,26.281250,0.507210,0.437500,0.500000,0.656250
13,_member_of_domain_region,29,846,1-N,1208.741379,0.567138,0.517241,0.620690,0.655172
14,_synset_domain_usage_of,23,592,M-1,53.239130,0.515043,0.500000,0.500000,0.543478
15,_synset_domain_region_of,43,849,M-1,42.872093,0.654264,0.616279,0.662791,0.744186
16,_verb_group,35,1057,1-1,406.985714,0.900002,0.828571,0.971429,0.971429
17,_similar_to,2,75,1-1,1.000000,1.000000,1.000000,1.000000,1.000000
