Relation ID,Relation Strings,Test Triple Count,Train Triple Count,Relation Type,Filtered MR,Filtered MRR,Filtered Hits@1,Filtered Hits@3,Filtered Hits@10
0,_hyponym,1190,7065,1-N,9642.521008,0.367946,0.348739,0.380252,0.403361
1,_hypernym,1192,7466,M-1,9611.041107,0.389697,0.371644,0.398490,0.421560
2,_member_holonym,270,6822,M-1,109.072222,0.992593,0.988889,0.996296,0.996296
3,_derivationally_related_form,1019,7508,1-1,10300.164868,0.408084,0.388616,0.425908,0.435231
4,_instance_hypernym,93,2708,M-1,11.903226,0.965245,0.951613,0.983871,0.989247
5,_also_see,40,1192,M-N,2065.287500,0.893757,0.887500,0.900000,0.900000
6,_member_meronym,246,6835,1-N,172.211382,0.982797,0.979675,0.985772,0.985772
7,_member_of_domain_topic,98,2900,1-N,70.158163,0.949057,0.928571,0.964286,0.984694
8,_part_of,166,4383,M-1,308.283133,0.981928,0.975904,0.987952,0.987952
9,_instance_hyponym,97,2684,1-N,1.108247,0.972895,0.958763,0.984536,1.000000
10,_synset_domain_topic_of,113,2866,M-1,221.300885,0.928429,0.911504,0.933628,0.973451
11,_has_part,179,4426,1-N,8.695531,0.982597,0.977654,0.986034,0.988827
12,_member_of_domain_usage,18,575,1-N,84.027778,0.815982,0.750000,0.833333,0.972222
13,_member_of_domain_region,31,843,1-N,9.322581,0.873018,0.822581,0.919355,0.951613
14,_synset_domain_usage_of,20,563,M-1,53.050000,0.918762,0.875000,0.950000,0.975000
15,_synset_domain_region_of,20,843,M-1,1.250000,0.935000,0.900000,0.950000,1.000000
16,_verb_group,41,1036,1-1,1.000000,1.000000,1.000000,1.000000,1.000000
17,_similar_to,1,76,1-1,1.000000,1.000000,1.000000,1.000000,1.000000
