Relation ID,Relation Strings,Test Triple Count,Train Triple Count,Relation Type,MR,MRR,Hits@1,Hits@3,Hits@10
0,_hyponym,1190,7065,1-N,9646.287395,0.323380,0.291176,0.344118,0.382773
1,_hypernym,1192,7466,M-1,9614.447148,0.334417,0.300755,0.352349,0.401846
2,_member_holonym,270,6822,M-1,111.859259,0.770870,0.696296,0.811111,0.918519
3,_derivationally_related_form,1019,7508,1-1,10300.557409,0.353172,0.290972,0.416094,0.434740
4,_instance_hypernym,93,2708,M-1,38.489247,0.555842,0.456989,0.629032,0.693548
5,_also_see,40,1192,M-N,2065.862500,0.717715,0.587500,0.837500,0.900000
6,_member_meronym,246,6835,1-N,175.087398,0.773335,0.703252,0.810976,0.914634
7,_member_of_domain_topic,98,2900,1-N,97.153061,0.554713,0.489796,0.571429,0.704082
8,_part_of,166,4383,M-1,310.439759,0.745743,0.638554,0.834337,0.933735
9,_instance_hyponym,97,2684,1-N,24.340206,0.585118,0.505155,0.623711,0.731959
10,_synset_domain_topic_of,113,2866,M-1,239.535398,0.622367,0.566372,0.637168,0.752212
11,_has_part,179,4426,1-N,10.972067,0.721611,0.611732,0.787709,0.930168
12,_member_of_domain_usage,18,575,1-N,124.111111,0.487172,0.416667,0.500000,0.583333
13,_member_of_domain_region,31,843,1-N,58.451613,0.584074,0.500000,0.661290,0.790323
14,_synset_domain_usage_of,20,563,M-1,92.550000,0.487121,0.450000,0.475000,0.550000
15,_synset_domain_region_of,20,843,M-1,40.825000,0.602967,0.500000,0.700000,0.775000
16,_verb_group,41,1036,1-1,1.097561,0.951220,0.902439,1.000000,1.000000
17,_similar_to,1,76,1-1,1.000000,1.000000,1.000000,1.000000,1.000000
