Relation ID,Relation Strings,Test Triple Count,Train Triple Count,Relation Type,Filtered MR,Filtered MRR,Filtered Hits@1,Filtered Hits@3,Filtered Hits@10
0,/location/country/form_of_government,26,293,M-N,2.4038461538461537,0.9133735069861779,0.8846153846153846,0.9230769230769231,0.9615384615384616
1,/tv/tv_program/regular_cast./tv/regular_tv_appearance/actor,106,355,1-N,694.5330188679245,0.4727520852718713,0.419811320754717,0.5094339622641509,0.5707547169811321
2,/media_common/netflix_genre/titles,291,343,1-N,548.3024054982818,0.3025510335705944,0.23195876288659795,0.3178694158075601,0.4587628865979381
3,/award/award_winner/awards_won./award/award_honor/award_winner,948,341,1-1,1139.9725738396623,0.12294128675501055,0.08386075949367089,0.12183544303797468,0.20411392405063292
4,/soccer/football_team/current_roster./sports/sports_team_roster/position,272,366,M-1,409.73161764705884,0.3974906977485208,0.28308823529411764,0.48713235294117646,0.5845588235294118
5,/sports/sports_position/players./soccer/football_roster_position/team,259,341,1-N,384.53861003861005,0.36974113788383806,0.2528957528957529,0.48841698841698844,0.5521235521235521
6,/government/political_district/representatives./government/government_position_held/legislative_sessions,107,335,M-N,11.570093457943925,0.35711110195266865,0.27102803738317754,0.3364485981308411,0.5794392523364486
7,/film/film/starring./film/performance/actor,1000,347,1-1,1458.7145,0.07525730895996094,0.06,0.077,0.1
8,/soccer/football_team/current_roster./soccer/football_roster_position/position,258,347,M-1,410.49612403100775,0.37945414698401164,0.25775193798449614,0.48643410852713176,0.5736434108527132
9,/film/actor/film./film/performance/film,1018,356,1-1,1481.926326129666,0.06997580987297013,0.05304518664047151,0.07023575638506876,0.1006876227897839
10,/award/award_nominated_work/award_nominations./award/award_nomination/award,1060,361,M-1,342.06037735849054,0.10923972219791052,0.06273584905660377,0.10613207547169812,0.1830188679245283
11,/award/award_category/nominees./award/award_nomination/nominated_for,1029,348,1-N,401.31049562682216,0.1163117730351069,0.06899902818270165,0.10641399416909621,0.20699708454810495
12,/organization/membership_organization/members./organization/organization_membership/member,88,356,M-N,17.09659090909091,0.5894404324618253,0.5113636363636364,0.6363636363636364,0.7386363636363636
13,/award/award_nominee/award_nominations./award/award_nomination/award_nominee,1751,358,1-1,1594.0077098800684,0.07205910848795108,0.04768703597944032,0.07024557395773844,0.11650485436893204
14,/olympics/olympic_sport/olympic_games_contested,82,369,M-N,3.9878048780487805,0.6344302107648152,0.5426829268292683,0.6524390243902439,0.8963414634146342
15,/music/performance_role/regular_performances./music/group_membership/role,286,370,M-N,36.6013986013986,0.2007980613441734,0.12062937062937062,0.20804195804195805,0.32867132867132864
16,/award/award_category/winners./award/award_honor/ceremony,330,341,M-N,70.93939393939394,0.23523827755089963,0.14242424242424243,0.21212121212121213,0.4818181818181818
17,/film/film/release_date_s./film/film_regional_release_date/film_release_distribution_medium,169,368,M-1,319.76331360946745,0.6192229682877219,0.6124260355029586,0.6153846153846154,0.636094674556213
18,/people/marriage_union_type/unions_of_this_type./people/marriage/spouse,295,347,1-N,1487.293220338983,0.49482561531713454,0.4542372881355932,0.5305084745762711,0.5372881355932203
19,/award/award_winning_work/awards_won./award/award_honor/award_winner,300,344,1-1,721.8583333333333,0.354187749226888,0.29333333333333333,0.39,0.46
20,/film/film/release_date_s./film/film_regional_release_date/film_release_region,1414,368,M-1,334.1718528995757,0.08785627653777515,0.048444130127298445,0.07567185289957568,0.14992927864214992
21,/film/film/language,292,340,M-1,421.67979452054794,0.3960963732575717,0.3407534246575342,0.4246575342465753,0.5085616438356164
22,/music/artist/genre,682,333,M-1,602.475073313783,0.1304721664473458,0.08577712609970674,0.12390029325513197,0.22727272727272727
23,/location/location/containedby,624,339,M-1,1067.4102564102564,0.23377518776135567,0.17227564102564102,0.2548076923076923,0.34935897435897434
24,/people/person/ethnicity,242,346,M-1,796.3243801652893,0.3130563152723076,0.25206611570247933,0.3367768595041322,0.43388429752066116
25,/education/educational_institution/students_graduates./education/education/degree,249,340,M-1,110.8012048192771,0.26502632233033696,0.17670682730923695,0.27309236947791166,0.4939759036144578
26,/award/award_category/nominees./award/award_nomination/award_nominee,1361,332,1-N,882.6884643644379,0.1204265115192758,0.08008817046289493,0.1201322556943424,0.19324026451138868
27,/award/award_ceremony/awards_presented./award/award_honor/award,324,346,M-N,33.46296296296296,0.2280451927656009,0.13580246913580246,0.2052469135802469,0.4583333333333333
28,/location/location/contains,565,365,1-N,1321.4345132743363,0.22966940550677545,0.17079646017699116,0.24867256637168142,0.3398230088495575
29,/organization/organization/headquarters./location/mailing_address/country,27,177,M-1,4.703703703703703,0.9251341643156828,0.9074074074074074,0.9259259259259259,0.9629629629629629
30,/people/person/profession,1334,359,M-1,1095.1218140929536,0.17294199427385917,0.09482758620689655,0.19415292353823088,0.35794602698650674
31,/film/film_job/films_with_this_crew_job./film/film_crew_gig/film,634,369,1-N,433.5843848580442,0.21882655868770948,0.1332807570977918,0.23501577287066247,0.4361198738170347
32,/people/profession/people_with_this_profession,1255,345,1-N,1360.5649402390438,0.16867962719434762,0.09641434262948208,0.18446215139442232,0.3386454183266932
33,/film/film_costumer_designer/costume_design_for_film,23,184,1-N,1.0434782608695652,0.9855072187340778,0.9782608695652174,1.0,1.0
34,/location/statistical_region/religions./location/religion_percentage/religion,65,359,M-N,13.53076923076923,0.7169670104980469,0.6384615384615384,0.7615384615384615,0.8538461538461538
35,/film/film_genre/films_in_this_genre,748,344,1-N,750.8195187165776,0.1637515409744997,0.1036096256684492,0.16711229946524064,0.29211229946524064
36,/tv/tv_genre/programs,107,342,M-N,119.3785046728972,0.5080811331205279,0.4205607476635514,0.5420560747663551,0.6822429906542056
37,/award/award_nominee/award_nominations./award/award_nomination/award,1334,332,M-1,1155.2537481259371,0.10270197924109234,0.06259370314842579,0.10344827586206896,0.1765367316341829
38,/music/genre/artists,621,363,1-N,616.2383252818036,0.13092945240162038,0.08776167471819646,0.12318840579710146,0.23107890499194847
39,/influence/influence_node/influenced_by,219,353,M-N,367.08675799086757,0.296371808335117,0.2420091324200913,0.3036529680365297,0.4132420091324201
40,/education/educational_institution/students_graduates./education/education/student,316,350,1-N,1182.1867088607594,0.2145272991325282,0.18829113924050633,0.21677215189873417,0.26582278481012656
41,/organization/organization_member/member_of./organization/organization_membership/organization,95,365,M-N,68.28421052631579,0.6321615520276521,0.5526315789473685,0.6842105263157895,0.7736842105263158
42,/people/person/place_of_birth,298,372,M-1,1940.9630872483222,0.24408872975599047,0.2080536912751678,0.26174496644295303,0.3036912751677852
43,/common/topic/webpage./common/webpage/category,650,370,M-1,2607.2753846153846,0.3787642963115986,0.3069230769230769,0.4461538461538462,0.4592307692307692
44,/media_common/netflix_title/netflix_genres,282,362,M-1,591.8989361702128,0.3405717890313331,0.2765957446808511,0.35638297872340424,0.48226950354609927
45,/sports/sports_position/players./american_football/football_historical_roster_position/team,62,367,M-N,6.467741935483871,0.6305947457590411,0.5403225806451613,0.6693548387096774,0.8387096774193549
46,/film/film/other_crew./film/film_crew_gig/film_crew_role,698,363,M-1,451.6067335243553,0.2063227437628716,0.12034383954154727,0.22421203438395415,0.42048710601719197
47,/award/award_ceremony/awards_presented./award/award_honor/award_winner,303,380,1-N,650.2640264026403,0.2565786531656095,0.20957095709570958,0.264026402640264,0.3333333333333333
48,/film/film/country,293,368,M-1,416.23549488054607,0.36525309696132413,0.2935153583617747,0.40955631399317405,0.5034129692832765
49,/olympics/olympic_sport/athletes./olympics/olympic_athlete_affiliation/country,220,354,M-N,30.78409090909091,0.2870677774602717,0.21363636363636362,0.2863636363636364,0.4113636363636364
50,/award/award_winning_work/awards_won./award/award_honor/award,364,347,M-1,385.64697802197804,0.18879854810106886,0.13736263736263737,0.18956043956043955,0.28708791208791207
51,/base/schemastaging/tv_actor_extra/regular_dubbing_performances./base/schemastaging/tv_star_dubbing_performance/program,11,63,M-N,1.0,1.0,1.0,1.0,1.0
52,/film/film/genre,783,356,M-1,754.4425287356322,0.17286534023163114,0.11494252873563218,0.17752234993614305,0.2943805874840358
53,/award/award_nominated_work/award_nominations./award/award_nomination/award_nominee,677,336,1-1,1072.48670605613,0.21449270769623568,0.1536189069423929,0.24372230428360414,0.3330871491875923
54,/film/film_distributor/films_distributed./film/film_film_distributor_relationship/film,279,344,1-N,220.65770609318997,0.34474854828209006,0.27419354838709675,0.35304659498207885,0.5
