Relation ID,Relation Strings,Test Triple Count,Train Triple Count,Relation Type,Filtered MR,Filtered MRR,Filtered Hits@1,Filtered Hits@3,Filtered Hits@10
42,/people/person/place_of_birth,269,351,M-1,3071.589219330855,0.1890221776572302,0.1691449814126394,0.19144981412639406,0.22676579925650558
43,/common/topic/webpage./common/webpage/category,670,356,M-1,3877.7746268656715,0.21641116925139925,0.17686567164179104,0.2417910447761194,0.28134328358208954
44,/media_common/netflix_title/netflix_genres,318,356,M-1,609.9559748427673,0.2922244761724892,0.23427672955974843,0.3113207547169811,0.4088050314465409
45,/sports/sports_position/players./american_football/football_historical_roster_position/team,73,355,M-N,6.1438356164383565,0.6676551609823148,0.5958904109589042,0.684931506849315,0.8356164383561644
46,/film/film/other_crew./film/film_crew_gig/film_crew_role,645,338,M-1,503.7984496124031,0.19283690933109254,0.11007751937984496,0.2116279069767442,0.39069767441860465
47,/award/award_ceremony/awards_presented./award/award_honor/award_winner,278,347,1-N,1473.589928057554,0.17602038211959728,0.14388489208633093,0.18345323741007194,0.2356115107913669
48,/film/film/country,284,357,M-1,395.76584507042253,0.4137768812582526,0.3626760563380282,0.4524647887323944,0.5017605633802817
49,/olympics/olympic_sport/athletes./olympics/olympic_athlete_affiliation/country,242,357,M-N,37.93181818181818,0.23611696101417226,0.16942148760330578,0.22520661157024793,0.359504132231405
50,/award/award_winning_work/awards_won./award/award_honor/award,370,355,M-1,547.0905405405406,0.15790660961254224,0.11486486486486487,0.16216216216216217,0.23648648648648649
51,/base/schemastaging/tv_actor_extra/regular_dubbing_performances./base/schemastaging/tv_star_dubbing_performance/program,9,65,M-N,1.3888888888888888,0.8722222116258409,0.7777777777777778,0.9444444444444444,1.0
52,/film/film/genre,805,366,M-1,956.1602484472049,0.1464315094562791,0.09751552795031056,0.14472049689440994,0.2527950310559006
53,/award/award_nominated_work/award_nominations./award/award_nomination/award_nominee,647,366,1-1,2317.020092735703,0.17529255603159413,0.13137557959814528,0.18547140649149924,0.2650695517774343
54,/film/film_distributor/films_distributed./film/film_film_distributor_relationship/film,252,357,1-N,296.08531746031747,0.3264819856673952,0.25793650793650796,0.3551587301587302,0.45634920634920634
55,/location/statistical_region/rent50_2./measurement_unit/dated_money_value/currency,41,349,M-1,4.5,0.8803175949468846,0.8658536585365854,0.8780487804878049,0.9024390243902439
56,/film/film/estimated_budget./measurement_unit/dated_money_value/currency,130,364,M-1,328.5692307692308,0.6167248065655048,0.6076923076923076,0.6230769230769231,0.6307692307692307
57,/location/administrative_division/second_level_division_of,53,355,M-1,12.60377358490566,0.8769133945681015,0.8679245283018868,0.8773584905660378,0.8962264150943396
58,/government/legislative_session/members./government/government_position_held/district_represented,123,357,M-N,9.43089430894309,0.42020509301162345,0.32926829268292684,0.4146341463414634,0.6422764227642277
59,/sports/sports_team/roster./american_football/football_historical_roster_position/position_s,62,358,M-N,5.57258064516129,0.6566880749117944,0.5725806451612904,0.6935483870967742,0.8467741935483871
60,/government/government_office_category/officeholders./government/government_position_held/jurisdiction_of_office,83,347,1-N,36.98795180722892,0.6593670213078878,0.5903614457831325,0.7168674698795181,0.7710843373493976
61,/award/award_nominee/award_nominations./award/award_nomination/nominated_for,695,353,1-1,1977.7251798561151,0.164283598755761,0.12014388489208633,0.17625899280575538,0.25107913669064746
62,/people/deceased_person/place_of_death,67,346,M-1,994.1343283582089,0.46728572560780085,0.44029850746268656,0.48507462686567165,0.5298507462686567
63,/music/group_member/instruments_played,226,345,M-1,183.85398230088495,0.2977506924519497,0.21902654867256638,0.3141592920353982,0.47345132743362833
64,/film/production_company/films,183,353,1-N,283.3633879781421,0.40130536022082053,0.3442622950819672,0.41530054644808745,0.5245901639344263
