Relation ID,Relation Strings,Test Triple Count,Train Triple Count,Relation Type,MR,MRR,Hits@1,Hits@3,Hits@10
301,/film/personal_film_appearance_type/film_appearances./film/personal_film_appearance/person,31,219,1-N,47.95161290322581,0.5151705588063886,0.5,0.5,0.532258064516129
302,/sports/sports_league_draft/picks./sports/sports_league_draft_pick/team,53,357,M-N,8.377358490566039,0.2804988645157724,0.10377358490566038,0.3113207547169811,0.6981132075471698
303,/travel/travel_destination/tourist_attractions,1,31,1-1,1.5,0.75,0.5,1.0,1.0
304,/base/americancomedy/comedy_group/members./base/americancomedy/comedy_group_membership/member,2,18,1-N,2.0,0.6875,0.5,0.75,1.0
305,/education/educational_institution/campuses,48,352,1-1,1.0,1.0,1.0,1.0,1.0
306,/film/film/distributors./film/film_film_distributor_relationship/region,16,155,M-1,28.1875,0.49987125396728516,0.4375,0.53125,0.5625
307,/travel/travel_destination/climate./travel/travel_destination_monthly_climate/month,53,364,M-N,16.60377358490566,0.17028939948891694,0.04716981132075472,0.1509433962264151,0.5
308,/business/business_operation/cash./measurement_unit/dated_money_value/currency,5,45,M-1,20.9,0.5132796287536621,0.5,0.5,0.5
309,/government/governmental_body/sessions,10,48,1-N,16.3,0.531139326095581,0.5,0.55,0.55
310,/location/statistical_region/rent50_0./measurement_unit/dated_money_value/currency,42,352,M-1,101.55952380952381,0.5101183028448195,0.5,0.5119047619047619,0.5119047619047619
311,/royalty/order_of_chivalry/recipients./royalty/chivalric_order_membership/recipient,4,38,1-N,2.625,0.8221153616905212,0.75,0.875,0.875
312,/military/military_commander/military_commands./military/military_command/military_combatant,3,33,M-1,1.1666666666666667,0.9166666666666666,0.8333333333333334,1.0,1.0
313,/film/film/subjects,51,350,M-1,165.90196078431373,0.5551286585190717,0.46078431372549017,0.5980392156862745,0.7647058823529411
314,/medicine/disease/notable_people_with_this_condition,9,115,1-N,2.3333333333333335,0.6675926314459907,0.5,0.8888888888888888,1.0
315,/music/musical_group/member./music/group_membership/member,31,202,1-N,4.629032258064516,0.7652097517444242,0.6612903225806451,0.8709677419354839,0.9354838709677419
316,/education/educational_institution/students_graduates./education/education/specialization,13,73,M-1,51.69230769230769,0.6593787119938777,0.5769230769230769,0.7307692307692307,0.8076923076923077
317,/base/schemastaging/organization_extra/phone_number./base/schemastaging/phone_sandbox/service_location,42,341,M-N,15.05952380952381,0.4492367789858863,0.32142857142857145,0.5357142857142857,0.6904761904761905
318,/tv/tv_producer_type/tv_producers_of_this_type./tv/tv_producer_term/program,16,113,1-N,28.59375,0.5111823081970215,0.5,0.5,0.5
319,/government/government_office_category/officeholders./government/government_position_held/office_holder,13,109,1-N,7.384615384615385,0.5251759382394644,0.38461538461538464,0.6153846153846154,0.8076923076923077
320,/sports/sports_position/players./baseball/baseball_roster_position/team,12,181,M-N,10.25,0.22480541467666626,0.041666666666666664,0.3333333333333333,0.625
321,/people/ethnicity/geographic_distribution,13,117,M-N,5.076923076923077,0.5694458301250751,0.4230769230769231,0.6538461538461539,0.8846153846153846
322,/film/actor/film./film/performance/special_performance_type,38,357,M-1,284.2236842105263,0.4903955961528577,0.4605263157894737,0.4868421052631579,0.5263157894736842
323,/military/military_combatant/military_conflicts./military/military_combatant_group/combatants,87,364,M-N,14.293103448275861,0.2378392493587801,0.09195402298850575,0.26436781609195403,0.5919540229885057
324,/film/film/personal_appearances./film/personal_film_appearance/person,24,210,1-N,13.5625,0.6725745995839437,0.5208333333333334,0.8125,0.9375
325,/base/schemastaging/organization_extra/phone_number./base/schemastaging/phone_open_times/time_zone,8,62,M-1,5.0625,0.567975640296936,0.4375,0.625,0.8125
326,/location/location/time_zones,127,353,M-1,492.18503937007875,0.41468198280634844,0.35826771653543305,0.44881889763779526,0.5039370078740157
