Relation ID,Relation Strings,Test Triple Count,Train Triple Count,Relation Type,MR,MRR,Hits@1,Hits@3,Hits@10
0,_hyponym,1183,6778,1-N,10072.436179,0.308117,0.273035,0.332629,0.367709
1,_hypernym,1172,6673,M-1,10730.436860,0.287836,0.257253,0.306741,0.345137
2,_member_holonym,272,6809,M-1,332.740809,0.754754,0.681985,0.795956,0.895221
3,_derivationally_related_form,997,7719,1-1,9366.548646,0.389866,0.326981,0.450853,0.479438
4,_instance_hypernym,92,2709,M-1,31.625000,0.578904,0.472826,0.652174,0.739130
5,_also_see,50,1192,M-N,438.740000,0.692863,0.540000,0.850000,0.920000
6,_member_meronym,285,6865,1-N,292.857895,0.755695,0.678947,0.800000,0.910526
7,_member_of_domain_topic,111,2860,1-N,24.450450,0.596246,0.536036,0.608108,0.729730
8,_part_of,161,4410,M-1,341.795031,0.699485,0.577640,0.779503,0.909938
9,_instance_hyponym,86,2713,1-N,592.976744,0.556327,0.470930,0.598837,0.697674
10,_synset_domain_topic_of,93,2871,M-1,572.500000,0.545658,0.494624,0.543011,0.645161
11,_has_part,179,4459,1-N,196.815642,0.722236,0.617318,0.796089,0.905028
12,_member_of_domain_usage,17,581,1-N,322.029412,0.514502,0.500000,0.500000,0.529412
13,_member_of_domain_region,29,832,1-N,51.586207,0.569016,0.517241,0.568966,0.655172
14,_synset_domain_usage_of,28,572,M-1,36.553571,0.518382,0.482143,0.535714,0.535714
15,_synset_domain_region_of,32,854,M-1,59.281250,0.576690,0.531250,0.609375,0.640625
16,_verb_group,43,1036,1-1,922.813953,0.910853,0.848837,0.976744,0.976744
17,_similar_to,4,68,1-1,1717.375000,0.750037,0.750000,0.750000,0.750000
