Relation ID,Relation Strings,Test Triple Count,Train Triple Count,Relation Type,Filtered MR,Filtered MRR,Filtered Hits@1,Filtered Hits@3,Filtered Hits@10
0,_hyponym,1183,6778,1-N,10069.252747,0.360004,0.343195,0.368977,0.389687
1,_hypernym,1172,6673,M-1,10727.337884,0.330652,0.313140,0.340017,0.357935
2,_member_holonym,272,6809,M-1,329.216912,0.969547,0.963235,0.972426,0.981618
3,_derivationally_related_form,997,7719,1-1,9366.130391,0.448991,0.426780,0.469910,0.480943
4,_instance_hypernym,92,2709,M-1,1.456522,0.950156,0.929348,0.967391,0.989130
5,_also_see,50,1192,M-N,438.040000,0.920029,0.920000,0.920000,0.920000
6,_member_meronym,285,6865,1-N,290.112281,0.965973,0.957895,0.973684,0.977193
7,_member_of_domain_topic,111,2860,1-N,1.247748,0.951603,0.927928,0.968468,0.995495
8,_part_of,161,4410,M-1,339.152174,0.976726,0.972050,0.981366,0.981366
9,_instance_hyponym,86,2713,1-N,555.215116,0.911024,0.889535,0.930233,0.970930
10,_synset_domain_topic_of,93,2871,M-1,544.602151,0.910144,0.881720,0.946237,0.962366
11,_has_part,179,4459,1-N,194.184358,0.979131,0.972067,0.986034,0.986034
12,_member_of_domain_usage,17,581,1-N,270.382353,0.882356,0.852941,0.882353,0.970588
13,_member_of_domain_region,29,832,1-N,1.275862,0.941571,0.913793,0.948276,1.000000
14,_synset_domain_usage_of,28,572,M-1,1.107143,0.967857,0.946429,0.982143,1.000000
15,_synset_domain_region_of,32,854,M-1,1.671875,0.842188,0.781250,0.828125,1.000000
16,_verb_group,43,1036,1-1,922.651163,0.976745,0.976744,0.976744,0.976744
17,_similar_to,4,68,1-1,1717.375000,0.750037,0.750000,0.750000,0.750000
